Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 1TB SSD macOS Srebrny","7 999
00
zł",ediaexpert,Apple M3,8GB,1000GB,Apple M3 (10 rdzeni),"14.2"", 3024 x 1964px, Matryca Liquid Retina XDR, Mini LED, 120Hz",macOS Sonoma,
"Laptop MSI Thin GF63 12UC-1001PL 15.6"" IPS 144Hz i5-12450H 8GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home","2 982
00
zł",ediaexpert,Intel Core i5-12450H,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop ACER Aspire 5 A515-47 15.6"" IPS R7-5825U 8GB RAM 512GB SSD Windows 11 Home","2 999
00
zł",ediaexpert,AMD Ryzen 7 5825U,"8GB, DDR4",512GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop ACER Aspire 5 A515-47 15.6"" IPS R7-5825U 16GB RAM 512GB SSD Windows 11 Home","3 585
10
zł",ediaexpert,AMD Ryzen 7 5825U,"16GB, DDR4",512GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop ACER Extensa EX215-54 15.6"" i3-1115G4 8GB RAM 256GB SSD","1 799
97
zł",ediaexpert,Intel Core i3-1115G4,"8GB, DDR4",256GB PCIe NVMe,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca TFT, LED, 60Hz",Brak,
"Laptop ASUS ExpertBook P5 P5405CSA-NZ0417W 14"" IPS Ultra 7-258V 32GB RAM 1TB SSD Windows 11 Home","6 599
00
zł",ediaexpert,Intel Core Ultra 7-258V,"32GB, LPDDR5X",1000GB PCIe NVMe 4.0,Intel Arc Graphics 140V,"14"", 2560 x 1600px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop ACER Chromebook 314 CB314-2H-K793 14"" IPS MT8183 8GB RAM 128GB eMMC Chrome OS","1 249
99
zł",ediaexpert,MediaTek MT8183,"8GB, LPDDR4X",128GB eMMC,ARM Mali-G72 MP3,"14"", 1920 x 1080px, Matryca IPS",Chrome OS,
"Laptop ASUS TUF Gaming A15 FA507NU-LP101 15.6"" IPS 144Hz R5-7535HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3","3 699
00
zł",ediaexpert,AMD Ryzen 5 7535HS,"16GB, DDR5, 4800MHz",512GB PCIe NVMe,NVIDIA GeForce RTX 4050 + AMD Radeon 660M,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Brak,
"Laptop ASUS VivoBook 16X K3605ZU-RP239W 16"" IPS 144Hz i7-12700H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","4 999
99
zł",ediaexpert,Intel Core i7-12700H,"16GB, DDR4",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop ASUS VivoBook 16X K3605ZF-RP515W 16"" IPS 144Hz i5-12500H 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home","2 999
99
zł",ediaexpert,Intel Core i5-12500H,"16GB, DDR4",512GB PCIe NVMe 3.0,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,"16"", 1920 x 1200px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop MSI Prestige 16 Evo A13M-404PL 16"" IPS 165Hz i7-13700H 16GB RAM 1TB SSD Windows 11 Home","4 499
00
zł",ediaexpert,Intel Core i7-13700H,"16GB, LPDDR5, 4800MHz",1000GB PCIe NVMe,Intel Iris Xe Graphics,"16"", 2560 x 1600px, Matryca IPS, 165Hz",Windows 11 Home,
"Laptop MSI Sword 17 HX B14VGKG-083XPL 17"" IPS 240Hz i7-14700HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3","8 199
00
zł",ediaexpert,Intel Core i7-14700HX,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"17"", 2560 x 1600px, Matryca IPS, 240Hz",Brak,
"Laptop LENOVO Yoga 9 2-in-1 14IMH9 14"" OLED Ultra 7-155H 32GB RAM 512GB SSD Windows 11 Home","6 999
00
zł",ediaexpert,Intel Core Ultra 7-155H,"32GB, LPDDR5X, 7467MHz",512GB PCIe NVMe 4.0 x4,Intel Arc Graphics,"14"", 2880 x 1800px, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop PREDATOR Triton Neo 16 PTN16-51-96SP 16"" IPS 165Hz Ultra 9-185H 32GB RAM 2TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home","8 999
99
zł",ediaexpert,Intel Core Ultra 9-185H,"32GB, LPDDR5X",1000 (x2)GB PCIe NVMe,NVIDIA GeForce RTX 4070 + Intel Arc Graphics,"16"", 3200 x 2000px, Matryca IPS, 165Hz",Windows 11 Home,
"Laptop LENOVO Yoga Slim 7 14Q8X9 14.5"" OLED Snapdragon X Elite 16GB RAM 1TB SSD Windows 11 Home","5 199
00
zł",ediaexpert,Qualcomm Snapdragon X Elite X1E-78-100,"16GB, LPDDR5X, 8448MHz",1000GB PCIe NVMe 4.0,Qualcomm Adreno,"14.5"", 2944 x 1840px, 90Hz, Ekran dotykowy",Windows 11 Home,
"Laptop DELL Inspiron 5440-7449 14"" Core 7 150U 16GB RAM 1TB SSD Windows 11 Professional","4 298
00
zł",ediaexpert,Intel Core 7 150U,"16GB, DDR5, 5200MHz",1000GB PCIe NVMe 4.0 x4,Intel Graphics,"14"", 1920 x 1200px, Matryca WVA, LED, 60Hz",Windows 11 Professional,
"Laptop ASUS ExpertBook B3604CMA-Q90306X 16"" Ultra 5-125H 16GB RAM 512GB SSD Windows 11 Professional","3 899
00
zł",ediaexpert,Intel Core Ultra 5-125H,"16GB, DDR5",512GB PCIe NVMe 4.0 x4,Intel Arc Graphics,"16"", 1920 x 1200px, LED, 60Hz",Windows 11 Professional,
"Laptop MICROSOFT Surface Laptop Copilot+ PC 13.8"" Snapdragon X Elite 16GB RAM 512GB SSD Windows 11 Home","6 299
00
zł",ediaexpert,Qualcomm Snapdragon X Elite,"16GB, LPDDR5X",512GB PCIe NVMe,Qualcomm Adreno,"13.8"", 2304 x 1536px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop PREDATOR Triton Neo 16 PTN16-51-72SR 16"" IPS 165Hz Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home","8 599
00
zł",ediaexpert,Intel Core Ultra 7-155H,"32GB, LPDDR5X",1000GB PCIe NVMe,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"16"", 3200 x 2000px, Matryca IPS, 165Hz",Windows 11 Home,
"Laptop MSI Prestige 14 AI Evo C1MG-041PL 14"" IPS 144Hz Ultra 5-125H 16GB RAM 1TB SSD Windows 11 Home","3 999
00
zł",ediaexpert,Intel Core Ultra 5-125H,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe,Intel Arc Graphics,"14"", 1920 x 1200px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop APPLE MacBook Air 2024 15.3"" M3 8GB RAM 512GB SSD macOS Gwiezdna szarość","6 299
00
zł",ediaexpert,Apple M3,8GB,512GB,Apple M3 (10 rdzeni),"15.3"", 2880 x 1864px, Matryca IPS,Matryca Liquid Retina, LED, 60Hz",macOS Sonoma,
"Laptop ASUS ROG Strix G16 G614JZR-N4030W 16"" IPS 240Hz i9-14900HX 16GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home","12 699
99
zł",ediaexpert,Intel Core i9-14900HX,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 240Hz",Windows 11 Home,
"Laptop ASUS ROG Strix Scar 18 G834JZR-N6036W 18"" IPS 240Hz i9-14900HX 32GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home","16 499
99
zł",ediaexpert,Intel Core i9-14900HX,"32GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,"18"", 2560 x 1600px, Matryca IPS, 240Hz",Windows 11 Home,
"Laptop MSI Katana 17 B12UCRK-1056XPL 17.3"" IPS 144Hz i7-12650H 16GB RAM 512GB SSD GeForce RTX3050","3 999
00
zł",ediaexpert,Intel Core i7-12650H,"16GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"17.3"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Brak,
"Laptop PREDATOR Helios PH16-71-97PT 16"" 240Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home","9 799
99
zł",ediaexpert,Intel Core i9-13900HX,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 240Hz",Windows 11 Home,
"Laptop DREAMMACHINES RG3050-15PL52 15.6"" 144Hz i5-13500H 32GB RAM 1TB SSD GeForce RTX3050","3 699
99
zł",ediaexpert,Intel Core i5-13500H,"32GB, DDR4, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 3050 + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca WVA, 144Hz",Brak,
"Laptop DELL Latitude 3440 14"" IPS i5-1335U 8GB RAM 256GB SSD Windows 11 Professional","3 199
00
zł",ediaexpert,Intel Core i5-1335U,"8GB, DDR4, 3200MHz",256GB PCIe NVMe,Intel Iris Xe Graphics,"14"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Professional,
"Laptop DELL Inspiron 3520-4339 15.6"" i5-1235U 8GB RAM 512GB SSD Windows 11 Professional","2 999
00
zł",ediaexpert,Intel Core i5-1235U,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 3.0 x4,Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 120Hz",Windows 11 Professional,
"Laptop PREDATOR Triton 500 SE PT516-51S 16"" IPS 165Hz i9-11900H 32GB RAM 1TB SSD GeForce RTX3080 Windows 11 Home","6 999
99
zł",ediaexpert,Intel Core i9-11900H,"32GB, DDR4, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 3080 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 165Hz",Windows 11 Home,
"Laptop DREAMMACHINES RG3050Ti-15PL37 15.6"" 144Hz i7-12700H 16GB RAM 500GB SSD GeForce RTX3050Ti","4 199
00
zł",ediaexpert,Intel Core i7-12700H,"16GB, DDR4, 3200MHz",500GB PCIe NVMe,NVIDIA GeForce RTX 3050 Ti + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca WVA, 144Hz",Brak,
"Laptop LENOVO ThinkPad E14 Gen 4 14"" IPS R3-5425U 8GB RAM 256GB SSD Windows 11 Professional","4 156
72
zł",ediaexpert,AMD Ryzen 3 5425U,"8GB, DDR4, 3200MHz",256GB PCIe NVMe 4.0 x4,AMD Radeon Graphics,"14"", 1920 x 1080px, Matryca IPS, LED",Windows 11 Professional,
"Laptop ACER Swift Edge SFA16-41-R7YG 16"" R7-6850U 32GB RAM 1TB SSD Windows 11 Professional","7 999
99
zł",ediaexpert,AMD Ryzen 7 6850U,"32GB, LPDDR5",1000GB PCIe NVMe,AMD Radeon 680M,"16"", 3840 x 2400px",Windows 11 Professional,
"Laptop APPLE MacBook Pro 2024 16"" Retina M4 Max 36GB RAM 1TB SSD macOS Srebrny","18 499
00
zł",ediaexpert,Apple M4 Max,36GB,1000GB,Apple M4 Max (32 rdzeni),"16.2"", 3456 x 2234px, Matryca Liquid Retina XDR, 120Hz",macOS Sequoia,
"Laptop ASUS ZenBook S 14 UX5406SA-PV030W 14"" OLED Ultra 7-258V 32GB RAM 1TB SSD Windows 11 Home","7 999
98
zł",ediaexpert,Intel Core Ultra 7-258V,"32GB, LPDDR5X",1000GB PCIe NVMe 4.0,Intel Arc Graphics 140V,"14"", 2880 x 1800px, Matryca OLED, 120Hz",Windows 11 Home,
"Laptop ACER Aspire 15 A15-51M-561U 15.6"" IPS Core 5 120U 16GB RAM 512GB SSD Windows 11 Home","3 199
00
zł",ediaexpert,Intel Core 5 120U,"16GB, LPDDR5, 4800MHz",512GB PCIe NVMe,Intel Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 11 Home,
"Laptop ASUS ExpertBook B3404CMA-Q50360X 14"" IPS Ultra 7-155H 16GB RAM 512GB SSD Windows 11 Professional","4 799
00
zł",ediaexpert,Intel Core Ultra 7-155H,"16GB, DDR5",512GB PCIe NVMe 4.0 x4,Intel Graphics,"14"", 1920 x 1200px, Matryca IPS, LED, 60Hz",Windows 11 Professional,
"Laptop ASUS Vivobook 14X K3405VC-KM053X 14"" OLED i9-13900H 16GB RAM 1TB SSD GeForce RTX3050 Windows 11 Professional","6 199
00
zł",ediaexpert,Intel Core i9-13900H,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe 3.0,NVIDIA GeForce RTX 3050 + Intel Iris Xe Graphics,"14"", 2880 x 1800px, Matryca OLED, 90Hz",Windows 11 Professional,
"Laptop MICROSOFT Surface Pro Copilot + PC 13"" Snapdragon X Plus 16GB RAM 512GB SSD Windows 11 Home","5 278
24
zł",ediaexpert,Qualcomm Snapdragon X Plus,"16GB, LPDDR5X",512GB PCIe NVMe,Qualcomm Adreno,"13"", 2880 x 1920px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop ACER Chromebook 314 CB314-2H-K12T 14"" IPS MT8183 4GB RAM 64GB eMMC Chrome OS","1 099
99
zł",ediaexpert,MediaTek MT8183,"4GB, LPDDR4X",64GB eMMC,ARM Mali-G72 MP3,"14"", 1920 x 1080px, Matryca IPS",Chrome OS,
"Laptop ASUS VivoBook S 16 M5606UA-MX017W 16"" OLED R9-8945HS 32GB RAM 1TB SSD Windows 11 Home","5 799
00
zł",ediaexpert,AMD Ryzen 9 8945HS,"32GB, LPDDR5X",1000GB PCIe NVMe 4.0,AMD Radeon 780M,"16"", 3200 x 2000px, Matryca OLED, 120Hz",Windows 11 Home,
"Laptop ASUS Vivobook 15 X1504VA-BQ1038W 15.6"" i3-1315U 16GB RAM 512GB SSD Windows 11 Home","2 399
98
zł",ediaexpert,Intel Core i3-1315U,"16GB, DDR4",512GB PCIe NVMe 3.0,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop LENOVO Legion Slim 5 16AHP9 16"" IPS 165Hz R7-8845HS 32GB RAM 512GB SSD GeForce RTX4060 DLSS 3","5 999
00
zł",ediaexpert,AMD Ryzen 7 8845HS,"32GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4060 + AMD Radeon 780M,"16"", 2560 x 1600px, Matryca IPS, 165Hz",Brak,
"Laptop LENOVO IdeaPad Slim 3 15ABR8 15.6"" IPS R7-7730U 16GB RAM 512GB SSD Windows 11 Home","2 999
98
zł",ediaexpert,AMD Ryzen 7 7730U,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0 x4,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Home,
"Laptop HP Omen 17-DB0006NW 17.3"" IPS 144Hz R5-8645HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","5 199
00
zł",ediaexpert,AMD Ryzen 5 8645HS,"16GB, DDR5, 5600MHz",512GB PCIe NVMe,NVIDIA GeForce RTX 4060 + AMD Radeon 760M,"17.3"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop HP Victus 16-r1814nw 16.1"" IPS 144Hz i5-14450HX 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","4 899
00
zł",ediaexpert,Intel Core i5-14450HX,"16GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"16.1"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop MSI Prestige 14 Evo B13M-631PL i7-13700H 14"" IPS 16GB RAM 1TB SSD Windows 11 Home","4 299
00
zł",ediaexpert,Intel Core i7-13700H,"16GB, LPDDR5, 4800MHz",1000GB PCIe NVMe 4.0,Intel Iris Xe Graphics,"14"", 1920 x 1200px, Matryca IPS, LED",Windows 11 Home,
"Laptop ASUS Vivobook S16 Flip TP3604VA-MY063W 16"" OLED i9-13900H 16GB RAM 1TB SSD Windows 11 Home","5 999
98
zł",ediaexpert,Intel Core i9-13900H,"16GB, DDR4",1000GB PCIe NVMe 3.0 x4,Intel Iris Xe Graphics,"16"", 3200 x 2000px, Matryca OLED, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop ASUS VivoBook S M5606WA-MX045W 16"" OLED Ryzen AI 9 365 32GB RAM 1TB SSD Windows 11 Home","6 499
99
zł",ediaexpert,AMD Ryzen AI 9 365,"32GB, LPDDR5X",1000GB PCIe NVMe 4.0,AMD Radeon Graphics,"16"", 3200 x 2000px, 120Hz",Windows 11 Home,
"Laptop LENOVO ThinkBook 14 2-in-1 G4 IML 14"" IPS Ultra 5-125U 16GB RAM 512GB SSD Windows 11 Professional","5 799
00
zł",ediaexpert,Intel Core Ultra 5-125U,"16GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0 x4,Intel Graphics,"14"", 1920 x 1200px, Matryca IPS, 60Hz, Ekran dotykowy",Windows 11 Professional,
"Laptop LENOVO ThinkBook 14 2-in-1 G4 IML 14"" IPS Ultra 7-155U 16GB RAM 1TB SSD Windows 11 Professional","6 599
00
zł",ediaexpert,Intel Core Ultra 7-155U,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0 x4,Intel Graphics,"14"", 1920 x 1200px, Matryca IPS, 60Hz, Ekran dotykowy",Windows 11 Professional,
"Laptop MICROSOFT Surface Laptop Copilot+ PC 13.8"" Snapdragon X Plus 16GB RAM 256GB SSD Windows 11 Home","4 811
92
zł",ediaexpert,Qualcomm Snapdragon X Plus,"16GB, LPDDR5X",256GB PCIe NVMe,Qualcomm Adreno,"13.8"", 2304 x 1536px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop MSI Bravo 17 D7VEK-093PL 17.3"" IPS 144Hz R5-7535HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home + Karta zniżkowa G2A","4 549
99
zł",ediaexpert,AMD Ryzen 5 7535HS,"16GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + AMD Radeon 660M,"17.3"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Windows 11 Home,
"Laptop LENOVO Legion S7 15ACH6 15.6"" IPS 165Hz R7-5800H 16GB RAM 512GB SSD GeForce RTX3050Ti Windows 10 Home","4 899
00
zł",ediaexpert,AMD Ryzen 7 5800H,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 3.0 x4,NVIDIA GeForce RTX 3050 Ti + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 165Hz",Windows 10 Home,
"Laptop ASUS VivoBook 15X K3504VA-MA480W 15.6"" OLED i7-1355U 16GB RAM 1TB SSD Windows 11 Home","4 199
98
zł",ediaexpert,Intel Core i7-1355U,"16GB, DDR4",1000GB PCIe NVMe 4.0 x4,Intel Iris Xe Graphics,"15.6"", 2880 x 1620px, 120Hz",Windows 11 Home,
"Laptop ASUS VivoBook 15X M3504YA-MA385W 15.6"" OLED R5-7430U 16GB RAM 512GB SSD Windows 11 Home","3 299
00
zł",ediaexpert,AMD Ryzen 5 7430U,"16GB, DDR4",512GB PCIe NVMe 3.0 x4,AMD Radeon Graphics,"15.6"", 2880 x 1620px, 120Hz",Windows 11 Home,
"Laptop ASUS VivoBook S 15 K5504VA-MA373W 15.6"" OLED i5-13500H 16GB RAM 1TB SSD Windows 11 Home","3 999
98
zł",ediaexpert,Intel Core i5-13500H,"16GB, LPDDR5",1000GB PCIe NVMe 4.0,Intel UHD Graphics,"15.6"", 2880 x 1620px, 120Hz",Windows 11 Home,
"Laptop APPLE MacBook Air 2024 15.3"" M3 8GB RAM 512GB SSD macOS Północ","6 299
00
zł",ediaexpert,Apple M3,8GB,512GB,Apple M3 (10 rdzeni),"15.3"", 2880 x 1864px, Matryca IPS,Matryca Liquid Retina, LED, 60Hz",macOS Sonoma,
"Laptop LENOVO LOQ 15APH8 15.6"" IPS 144Hz R5-7640HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","5 099
99
zł",ediaexpert,AMD Ryzen 5 7640HS,"16GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4050 + AMD Radeon 760M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop ASUS ROG Zephyrus G14 GA403UV-QS020W 14"" OLED R9-8945HS 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","8 499
00
zł",ediaexpert,AMD Ryzen 9 8945HS,"16GB, LPDDR5X, 6400MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + AMD Radeon 780M,"14"", 2880 x 1800px, 120Hz",Windows 11 Home,
"Laptop ASUS TUF Gaming A15 FA506NC-HN006 15.6"" IPS 144Hz R5-7535HS 8GB RAM 512GB SSD GeForce RTX3050","2 848
99
zł",ediaexpert,AMD Ryzen 5 7535HS,"8GB, DDR5, 5600MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3050 + AMD Radeon 660M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Brak,
"Laptop ASUS TUF Gaming A15 FA507NV-LP025W 15.6"" IPS 144Hz R5-7535HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","4 699
98
zł",ediaexpert,AMD Ryzen 5 7535HS,"16GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + AMD Radeon 660M,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop MSI Katana 15 B13VGK-1436XPL 15.6"" IPS 144Hz i9-13900H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3","6 799
98
zł",ediaexpert,Intel Core i9-13900H,"16GB, DDR5, 5200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Brak,
"Laptop DELL Inspiron 7430-3437 14"" i5-1335U 8GB RAM 512GB SSD Windows 11 Home","4 049
00
zł",ediaexpert,Intel Core i5-1335U,"8GB, LPDDR5, 4800MHz",512GB PCIe NVMe,Intel Iris Xe Graphics,"14"", 1920 x 1200px, Matryca WVA, 60Hz, Ekran dotykowy",Windows 11 Home,
"Laptop MSI Katana 17 B13VFK-841XPL 17.3"" IPS 144Hz i7-13620H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3","5 098
99
zł",ediaexpert,Intel Core i7-13620H,"16GB, DDR5, 5200MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"17.3"", 1920 x 1080px, Matryca IPS, LED, 144Hz",Brak,
"Laptop LENOVO ThinkBook G6 ABP 16"" IPS R5-7530U 8GB RAM 512GB SSD Windows 11 Professional","3 329
97
zł",ediaexpert,AMD Ryzen 5 7530U,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0 x4,AMD Radeon Graphics,"16"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Professional,
"Laptop LENOVO ThinkBook G6 IRL 16"" IPS i3-1315U 8GB RAM 512GB SSD Windows 11 Professional","2 599
00
zł",ediaexpert,Intel Core i3-1315U,"8GB, DDR5, 5200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"16"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Professional,
"Laptop LENOVO V14 G4 IRU 14"" i5-13420H 8GB RAM 512GB SSD Windows 11 Professional","2 949
00
zł",ediaexpert,Intel Core i5-13420H,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0 x4,Intel UHD Graphics,"14"", 1920 x 1080px, Matryca TN, 60Hz",Windows 11 Professional,
"Laptop ASUS VivoBook Go E1504FA-BQ204W 15.6"" IPS R5-7520U 8GB RAM 512GB SSD Windows 11 Home","2 099
98
zł",ediaexpert,AMD Ryzen 5 7520U,"8GB, LPDDR5",512GB PCIe NVMe 3.0,AMD Radeon 610M,"15.6"", 1920 x 1080px, Matryca IPS, LED, 60Hz",Windows 11 Home,
"Laptop ASUS ROG Zephyrus GX650PZ-NM015W 16"" 240Hz R9-7945HX 32GB RAM 2TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home","14 999
00
zł",ediaexpert,AMD Ryzen 9 7945HX,"32GB, DDR5, 4800MHz",2000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4080 + AMD Radeon 610M,"16"", 2560 x 1600px, Matryca miniLED, Mini LED, 240Hz",Windows 11 Home,
"Laptop HP Victus 15-FB0113NW 15.6"" IPS 144Hz R5-5600H 8GB RAM 512GB SSD Radeon RX6500M Windows 11 Home","3 379
97
zł",ediaexpert,AMD Ryzen 5 5600H,"8GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0,AMD Radeon RX 6500M + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop HP Victus 15-FB0143NW 15.6"" 144Hz R7-5800H 16GB RAM 512GB SSD GeForce RTX3050Ti Windows 11 Home","4 959
68
zł",ediaexpert,AMD Ryzen 7 5800H,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3050 Ti + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop MICROSOFT Surface Pro Copilot 15"" 120Hz Snapdragon X Elite 16GB RAM 512GB SSD Windows 11 Home","6 999
00
zł",ediaexpert,Qualcomm Snapdragon X Elite,"16GB, LPDDR5X, 8448MHz",512GB PCIe NVMe 4.0,Qualcomm Adreno,"15"", 2496 x 1664px, Matryca PixelSense Flow, 120Hz, Ekran dotykowy",Windows 11 Home,
"Laptop DREAMMACHINES RG2050-17PL22 17.3"" 144Hz i5-13420H 32GB RAM 1TB SSD GeForce RTX2050","3 799
99
zł",ediaexpert,Intel Core i5-13420H,"32GB, DDR4, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,"17.3"", 1920 x 1080px, Matryca WVA, 144Hz",Brak,
"Laptop ACER Nitro V 15 ANV15-51 NH.QQEEP.00A 15.6"" IPS 165Hz i9-13900H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3","5 448
99
zł",ediaexpert,Intel Core i9-13900H,"16GB, DDR5, 5200MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 165Hz",Brak,
